Customer ID,RFM_Segment
6961-VCPMC,Loyal Customers
4424-TKOPW,Lost
4201-JMNGR,Lost
1866-RZZQS,Loyal Customers
8631-NBHFZ,Champions
4958-XCBDQ,Loyal Customers
8337-UPOAQ,At Risk
6712-OAWRH,At Risk
5914-DVBWJ,At Risk
8644-XLFBW,Lost
1833-VGRUM,Lost
8374-XGEJJ,Champions
6946-LMSQS,Loyal Customers
4039-HEUNW,Loyal Customers
0812-WUPTB,Lost
2403-BCASL,Loyal Customers
3871-IKPYH,Lost
1304-NECVQ,Lost
5655-JSMZM,Loyal Customers
4505-EXZHB,Lost
8972-HJWNV,At Risk
2860-RANUS,At Risk
0406-BPDVR,Loyal Customers
5276-KQWHG,Lost
9667-EQRXU,At Risk
0946-CLJTI,Champions
0324-BRPCJ,Champions
9189-JWSHV,Loyal Customers
0576-WNXXC,Loyal Customers
5482-PLVPE,Lost
4902-OHLSK,At Risk
0495-ZBNGW,Lost
2357-COQEK,At Risk
2034-CGRHZ,At Risk
9360-AHGNL,Champions
5485-WUYWF,Lost
2632-UCGVD,Champions
6425-YQLLO,Champions
2091-RFFBA,Loyal Customers
6899-PPEEA,Loyal Customers
4597-NUCQV,At Risk
3754-DXMRT,Lost
7130-VTEWQ,Lost
7903-CMPEY,Lost
1704-NRWYE,Lost
7481-ATQQS,Loyal Customers
0023-HGHWL,Lost
1792-UXAFY,At Risk
6161-UUUTA,Lost
6543-XRMYR,Loyal Customers
2479-BRAMR,Loyal Customers
3714-JTVOV,Loyal Customers
8580-QVLOC,Loyal Customers
2012-NWRPA,At Risk
8808-ELEHO,Lost
9058-CBREO,Lost
8063-GBATB,At Risk
1069-XAIEM,Lost
6987-XQSJT,Loyal Customers
0722-TROQR,Lost
6402-ZFPPI,At Risk
9965-YOKZB,Lost
0504-HHAPI,At Risk
3791-LGQCY,Champions
8166-ZZTFS,Champions
2956-GGUCQ,At Risk
2778-OCLGR,At Risk
7067-KSAZT,Champions
9300-AGZNL,Lost
1112-CUNAO,At Risk
3389-YGYAI,Lost
3070-DVEYC,Lost
5707-ORNDZ,Lost
8696-JKZNU,Loyal Customers
2055-PDADH,Lost
2302-ANTDP,Champions
5233-GEEAX,Lost
7137-RYLPP,Loyal Customers
3957-LXOLK,At Risk
5281-BUZGT,Loyal Customers
2718-GAXQD,Lost
3217-FZDMN,Lost
7480-QNVZJ,Loyal Customers
7124-UGSUR,Champions
1862-SKORY,Loyal Customers
4816-JBHOV,Lost
3247-ZVOUO,At Risk
1268-ASBGA,At Risk
4713-LZDRV,Lost
4325-NFSKC,At Risk
6502-HCJTI,Lost
8258-GSTJK,Lost
2995-UPRYS,Loyal Customers
6686-YPGHK,Loyal Customers
8020-BWHYL,At Risk
6892-XPFPU,Loyal Customers
8010-EZLOU,At Risk
8062-YBDOE,Lost
3672-YITQD,Loyal Customers
8988-ECPJR,Loyal Customers
3776-EKTKM,Lost
0643-OKLRP,Loyal Customers
9381-NDKME,At Risk
8327-LZKAS,Loyal Customers
1075-BGWOH,At Risk
8485-GJCDN,Lost
6029-WTIPC,Loyal Customers
3317-HRTNN,Lost
5569-OUICF,Loyal Customers
5747-PMBSQ,At Risk
2982-IHMFT,Lost
5143-EGQFK,Lost
6168-WFVVF,Lost
7450-NWRTR,At Risk
6005-OBZPH,At Risk
7932-WPTDS,Lost
7000-WCEVQ,At Risk
5959-BELXA,Loyal Customers
2506-TNFCO,Lost
6060-DRTNL,Lost
8473-VUVJN,Lost
0196-VULGZ,At Risk
1976-CFOCS,Lost
4631-OACRM,At Risk
3755-JBMNH,At Risk
6345-ULYRW,Loyal Customers
0013-EXCHZ,At Risk
5550-VFRLC,Lost
2657-ALMWY,Loyal Customers
6284-AHOOQ,At Risk
2460-FPSYH,Loyal Customers
5028-HTLJB,Lost
0875-CABNR,At Risk
6982-UQZLY,Lost
0193-ESZXP,Champions
4369-HTUIF,Lost
5287-QWLKY,Champions
1891-UAWWU,At Risk
3096-JRDSO,Loyal Customers
2398-YPMUR,At Risk
1265-XTECC,Champions
4871-JTKJF,Lost
1415-YFWLT,Lost
3500-RMZLT,At Risk
2642-DTVCO,Lost
1363-TXLSL,Lost
7136-RVDTZ,Loyal Customers
6927-WTFIV,At Risk
3398-ZOUAA,At Risk
4844-JJWUY,Lost
4785-QRJHC,Loyal Customers
1965-AKTSX,At Risk
7248-VZQLC,Loyal Customers
0011-IGKFF,At Risk
6496-SLWHQ,Lost
9912-GVSEQ,Loyal Customers
5383-MMTWC,At Risk
6877-LGWXO,At Risk
5167-GBFRE,Lost
1324-NLTJE,At Risk
5567-WSELE,Lost
6646-VRFOL,Loyal Customers
9090-SGQXL,Champions
6595-YGXIT,At Risk
9835-ZIITK,Champions
5649-TJHOV,At Risk
9253-QXKBE,Loyal Customers
8775-LHDJH,Lost
3097-NQYSN,At Risk
3565-UNOCC,Loyal Customers
9190-MFJLN,At Risk
1095-JUDTC,Loyal Customers
5385-SUIRI,Loyal Customers
6328-ZPBGN,At Risk
2856-NNASM,Loyal Customers
6769-DYBQN,Loyal Customers
2446-BEGGB,Lost
1496-GGSUK,Lost
3296-SILRA,At Risk
5180-UCIIQ,Loyal Customers
1977-STDKI,Lost
5813-UECBU,Loyal Customers
4342-HENTK,Lost
1597-LHYNC,At Risk
8651-ENBZX,Loyal Customers
9286-DOJGF,Loyal Customers
9661-MHUMO,At Risk
8884-ADFVN,At Risk
2720-WGKHP,Lost
9776-CLUJA,Loyal Customers
3551-HUAZH,Lost
8634-MPHTR,Loyal Customers
2474-BRUCM,Loyal Customers
0616-ATFGB,Lost
7235-NXZCP,Lost
6661-HBGWL,Loyal Customers
9317-WZPGV,Lost
3621-CEOVK,At Risk
7632-MNYOY,Loyal Customers
9248-OJYKK,Lost
3398-FSHON,At Risk
3319-DWOEP,Lost
0818-OCPZO,At Risk
1389-CXMLU,Lost
5561-NWEVX,Lost
2272-QAGFO,At Risk
3768-NLUBH,Champions
7359-SSBJK,Loyal Customers
0685-MLYYM,Lost
7957-RYHQD,Loyal Customers
6230-BSUXY,Lost
3990-QYKBE,Champions
9274-CNFMO,Lost
3005-NFMTA,Loyal Customers
5389-FFVKB,Loyal Customers
8444-WRIDW,Loyal Customers
5868-YWPDW,At Risk
1273-MTETI,Lost
5480-HPRRX,Lost
7234-FECYN,Lost
1400-MMYXY,Lost
7142-HVGBG,Loyal Customers
1564-NTYXF,At Risk
0886-QGENL,Loyal Customers
8739-WWKDU,At Risk
8685-WHQPW,At Risk
7240-FQLHE,Loyal Customers
6664-FPDAC,Loyal Customers
0786-VSSUD,At Risk
6583-QGCSI,Loyal Customers
1980-KXVPM,Lost
0723-DRCLG,Lost
6894-LFHLY,Lost
8361-LTMKD,Lost
3841-NFECX,Champions
4929-XIHVW,At Risk
3413-BMNZE,Lost
8012-SOUDQ,Loyal Customers
6575-SUVOI,Loyal Customers
4667-QONEA,Champions
5067-XJQFU,Champions
1891-QRQSA,Champions
2673-CXQEU,Loyal Customers
0191-ZHSKZ,Loyal Customers
2424-WVHPL,Lost
5386-THSLQ,Loyal Customers
2639-UGMAZ,Loyal Customers
3146-MSEGF,Champions
1131-QQZEB,Champions
2504-DSHIH,Loyal Customers
9058-HRZSV,Champions
4522-AKYLR,At Risk
0221-WMXNQ,Lost
5046-NUHWD,Loyal Customers
7529-ZDFXI,Champions
3197-ARFOY,At Risk
4716-HHKQH,Loyal Customers
3179-GBRWV,Loyal Customers
4847-TAJYI,Lost
6851-WEFYX,Loyal Customers
3167-SNQPL,Champions
2799-ARNLO,Lost
5701-YVSVF,Loyal Customers
5697-GOMBF,Loyal Customers
2739-CACDQ,At Risk
6035-BXTTY,Loyal Customers
0021-IKXGC,Lost
4654-DLAMQ,Champions
4115-NZRKS,Lost
3351-NGXYI,At Risk
8204-YJCLA,Loyal Customers
9774-NRNAU,Loyal Customers
0224-RLWWD,Lost
3951-NJCVI,Champions
0177-PXBAT,Champions
2519-ERQOJ,At Risk
0111-KLBQG,Champions
1996-DBMUS,Champions
2055-SIFSS,Loyal Customers
2806-MLNTI,Champions
5628-RKIFK,Loyal Customers
5760-WRAHC,At Risk
1480-BKXGA,Champions
9076-AXYIK,Champions
4933-IKULF,At Risk
3780-DDGSE,Loyal Customers
4612-SSVHJ,At Risk
5756-OZRIO,Champions
4513-CXYIX,Champions
4332-MUOEZ,Loyal Customers
6705-LXORM,Lost
4109-CYRBD,Loyal Customers
8606-CIQUL,Champions
0356-OBMAC,Loyal Customers
1297-VQDRP,Loyal Customers
4676-MQUEA,Champions
7025-WCBNE,Loyal Customers
6030-REHUX,Loyal Customers
6522-YRBXD,Loyal Customers
6689-VRRTK,Loyal Customers
7134-MJPDY,Loyal Customers
4881-JVQOD,At Risk
6797-UCJHZ,Champions
2469-DTSGX,Loyal Customers
4908-XAXAY,Loyal Customers
3509-GWQGF,At Risk
3729-OWRVL,Loyal Customers
7251-LJBQN,Loyal Customers
2682-KEVRP,At Risk
9978-HYCIN,Loyal Customers
8329-UTMVM,At Risk
6952-OMNWB,Champions
6549-YMFAW,Lost
1307-TVUFB,Loyal Customers
7503-MIOGA,Loyal Customers
2499-AJYUA,Champions
6919-ELBGL,Champions
3966-HRMZA,Lost
5671-RQRLP,Champions
4785-NKHCX,Lost
4250-WAROZ,Champions
3523-BRGUW,At Risk
2123-AGEEN,Lost
1258-YMZNM,At Risk
6259-WJQLC,Loyal Customers
7508-SMHXL,At Risk
3956-CJUST,At Risk
4824-GUCBY,At Risk
6630-UJZMY,At Risk
9904-EHEVJ,Champions
2826-DXLQO,At Risk
9489-UTFKA,Loyal Customers
4849-PYRLQ,Loyal Customers
2858-EIMXH,Loyal Customers
6419-ZTTLE,At Risk
8242-SOQUO,Lost
7460-ITWWP,Champions
7868-TMWMZ,Champions
4829-ZLJTK,Champions
8883-GRDWQ,At Risk
9845-PEEKO,Loyal Customers
1751-NCDLI,Loyal Customers
2176-LVPNX,Loyal Customers
3452-ABWRL,Loyal Customers
1779-PWPMG,Champions
3082-WQRVY,Loyal Customers
2460-NGXBJ,Loyal Customers
5268-DSMNQ,Champions
6242-MBHPK,Loyal Customers
4782-OSFXZ,Champions
1282-IHQAC,Loyal Customers
1641-RQDAY,Loyal Customers
5461-QKNTN,Loyal Customers
8089-UZWLX,Loyal Customers
4468-KAZHE,At Risk
1543-LLLFT,Champions
6507-ZJSUR,Loyal Customers
9220-ZNKJI,Champions
0723-VSOBE,At Risk
1004-NOZNR,Loyal Customers
1251-STYSZ,Lost
9681-KYGYB,Champions
7005-CYUIL,Champions
2388-LAESQ,Champions
3108-PCCGG,Champions
6729-GDNGC,At Risk
4238-HFHSN,Champions
2692-BUCFV,At Risk
5651-WYIPH,At Risk
8752-GHJFU,Champions
6896-SRVYQ,Loyal Customers
9052-VKDUW,Champions
2480-EJWYP,Champions
6806-YDEUL,Lost
0222-CNVPT,Loyal Customers
6048-UWKAL,Champions
9290-SHCMB,At Risk
2277-BKJKN,Champions
8016-ZMGMO,Loyal Customers
1728-CXQBE,Champions
0481-SUMCB,Loyal Customers
2811-POVEX,Loyal Customers
7905-NJMXS,Lost
9957-YODKZ,At Risk
3223-DWFIO,Lost
3292-PBZEJ,At Risk
0993-OSGPT,Champions
7108-DGVUU,Loyal Customers
9906-NHHVC,Loyal Customers
8152-UOBNY,Loyal Customers
7351-KYHQH,Lost
6374-NTQLP,Champions
6267-DCFFZ,Champions
2439-LYPMQ,Champions
7426-WEIJX,Champions
3761-FLYZI,Champions
1060-ENTOF,Champions
0999-QXNSA,Lost
9365-SRSZE,At Risk
4918-FYJNT,Champions
4854-CIDCF,Lost
3280-MRDOF,Loyal Customers
6407-UTSLV,Lost
5935-FCCNB,At Risk
9705-IOVQQ,Champions
1320-REHCS,Loyal Customers
2057-BOYKM,Champions
0134-XWXCE,Loyal Customers
2307-FYNNL,Loyal Customers
5605-XNWEN,Loyal Customers
2519-LBNQL,Champions
8623-ULFNQ,At Risk
7789-HKSBS,Loyal Customers
2070-XYMFH,At Risk
5663-QBGIS,Loyal Customers
3402-XRIUO,Loyal Customers
8058-DMYRU,Loyal Customers
3537-RYBHH,Loyal Customers
0523-VNGTF,Loyal Customers
7105-MXJLL,At Risk
7064-FRRSW,Loyal Customers
1636-NTNCO,Lost
3219-JQRSL,Champions
1845-CSBRZ,Loyal Customers
3723-BFBGR,At Risk
5692-ICXLW,Loyal Customers
7020-OZKXZ,Lost
0308-GIQJT,Loyal Customers
8775-ERLNB,At Risk
8309-IEYJD,Lost
7361-YPXFS,At Risk
6557-BZXLQ,At Risk
4832-VRBMR,Champions
7901-TBKJX,Loyal Customers
9919-FZDED,Champions
7206-PQBBZ,Loyal Customers
4079-VTGLK,Champions
2931-VUVJN,Loyal Customers
2878-RMWXY,Champions
7375-WMVMT,Champions
7622-FWGEW,Champions
0380-NEAVX,Loyal Customers
8495-LJDFO,Loyal Customers
1302-UHBDD,At Risk
3597-YASZG,Champions
3420-ZDBMA,Lost
3398-GCPMU,Champions
1013-QCWAM,Loyal Customers
0336-PIKEI,Champions
7322-OCWHC,Champions
5732-IKGQH,Champions
0093-EXYQL,Loyal Customers
9168-INPSZ,Champions
0015-UOCOJ,Lost
5334-AFQJB,Loyal Customers
2754-SDJRD,Lost
1465-LNTLJ,Loyal Customers
4706-DGAHW,Lost
8552-OBVRU,Champions
9776-OJUZI,Loyal Customers
0869-PAPRP,Loyal Customers
4238-JSSWH,Loyal Customers
9121-PHQSR,Loyal Customers
9796-MVYXX,At Risk
7268-IGMFD,At Risk
0013-SMEOE,Champions
2573-GYRUU,Loyal Customers
6486-LHTMA,Loyal Customers
4083-BFNYK,Loyal Customers
1089-HDMKP,At Risk
0141-YEAYS,At Risk
9603-OAIHC,Lost
8406-LNMHF,Champions
0023-UYUPN,Loyal Customers
6360-SVNWV,Loyal Customers
9050-IKDZA,Lost
1197-BVMVG,Lost
5198-EFNBM,Champions
7516-GMHUV,Loyal Customers
6614-YWYSC,Champions
8735-SDUFN,Champions
7016-NVRIC,Loyal Customers
9825-YCXWZ,Loyal Customers
2000-DHJUY,Champions
9796-BPKIW,Lost
9137-NOQKA,Lost
7748-UMTRK,Loyal Customers
6463-MVYRY,Loyal Customers
4526-ZJJTM,Loyal Customers
5315-CKEQK,At Risk
0907-HQNTS,Champions
8250-ZNGGW,Lost
8166-ORCHU,Champions
1855-CFULU,Lost
8628-MFKAX,Champions
9508-ILZDG,Loyal Customers
6128-AQBMT,Champions
4295-YURET,Champions
7693-QPEFS,Loyal Customers
0924-BJCRC,Champions
5533-NHFRF,Lost
4360-QRAVE,At Risk
8433-WPJTV,Champions
5387-ASZNZ,Loyal Customers
2277-DJJDL,Champions
6963-EZQEE,Champions
2452-KDRRH,Loyal Customers
5248-RPYWW,Champions
7923-IYJWY,Loyal Customers
1658-TJVOA,Lost
0674-DGMAQ,Champions
2761-XECQW,Lost
8059-UDZFY,Loyal Customers
7740-BTPUX,Champions
8648-PFRMP,At Risk
8996-ZROXE,Loyal Customers
2207-QPJED,Champions
0516-QREYC,At Risk
3865-QBWSJ,Loyal Customers
5857-TYBCJ,Loyal Customers
4176-RELJR,Loyal Customers
7924-GJZFI,Loyal Customers
5897-ZYEKH,Champions
5456-ITGIC,Champions
8070-AAWZP,Loyal Customers
6860-YRJZP,Lost
9391-DXGGG,Loyal Customers
9844-FELAJ,Champions
8395-ETZKQ,Champions
8336-TAVKX,Champions
0581-BXBUB,Lost
5150-ITWWB,Lost
9281-OFDMF,Loyal Customers
7636-OWBPG,Lost
0549-CYCQN,Loyal Customers
0928-JMXNP,At Risk
3629-ZNKXA,At Risk
4827-LTQRJ,Champions
0136-IFMYD,Champions
5144-TVGLP,Loyal Customers
9659-ZTWSM,Champions
2195-VVRJF,Loyal Customers
1125-SNVCK,Loyal Customers
2545-EBUPK,Lost
2172-EJXVF,Loyal Customers
8659-HDIYE,Loyal Customers
4680-KUTAJ,Lost
2883-ILGWO,Loyal Customers
1167-OYZJF,Champions
4806-DXQCE,Champions
5996-NRVXR,Loyal Customers
0100-DUVFC,Champions
5397-TUPSH,Champions
6773-LQTVT,Loyal Customers
9402-ORRAH,At Risk
4840-ORQXB,Loyal Customers
3982-DQLUS,Champions
3756-VNWDH,Champions
2921-XWDJH,Loyal Customers
9799-CAYJJ,Lost
6814-ZPWFQ,At Risk
5019-GQVCR,Loyal Customers
2880-FPNAE,Lost
1568-BEKZM,Champions
2045-BMBTJ,At Risk
6741-EGCBI,Loyal Customers
1730-ZMAME,Loyal Customers
5913-INRQV,Champions
6185-TASNN,Lost
1925-LFCZZ,Loyal Customers
8707-RMEZH,Champions
9373-WSLOY,Loyal Customers
9819-FBNSV,Champions
9544-PYPSJ,Champions
3878-AVSOQ,Lost
3258-SYSWS,Loyal Customers
0512-FLFDW,Champions
2107-FBPTK,Loyal Customers
1016-DJTSV,Lost
5699-BNCAS,Loyal Customers
2900-PHPLN,Loyal Customers
4039-PIMHX,Loyal Customers
7826-VVKWT,Loyal Customers
5288-AHOUP,At Risk
7134-HBPBS,Loyal Customers
4415-WNGVR,Loyal Customers
1309-XGFSN,Loyal Customers
0650-BWOZN,At Risk
4304-XUMGI,Champions
9481-IEBZY,Champions
1080-BWSYE,Loyal Customers
3786-WOVKF,Champions
5816-SCGFC,Lost
9278-VZKCD,Loyal Customers
8261-GWDBQ,Champions
6173-GOLSU,Champions
8720-RQSBJ,Lost
7225-CBZPL,Loyal Customers
3692-JHONH,Champions
1200-TUZHR,Lost
7130-CTCUS,Loyal Customers
0420-HLGXF,Loyal Customers
3657-COGMW,Loyal Customers
4334-HOWRP,Loyal Customers
4098-NAUKP,Champions
3308-JSGML,Champions
6199-IWKGC,Champions
2675-DHUTR,Champions
7446-YPODE,At Risk
9522-BNTHX,At Risk
0531-ZZJWQ,Champions
2688-BHGOG,Lost
0916-QOFDP,Loyal Customers
8910-LEDAG,Loyal Customers
3452-GWUIN,Loyal Customers
7278-CKDNC,At Risk
8450-UYIBU,At Risk
3836-FZSDJ,Loyal Customers
0187-QSXOE,Loyal Customers
7733-UDMTP,Loyal Customers
6904-JLBGY,Loyal Customers
6917-YACBP,Loyal Customers
4223-WOZCM,Lost
5917-RYRMG,At Risk
8224-DWCKX,At Risk
1768-HNVGJ,Loyal Customers
4395-PZMSN,Lost
5446-DKWYW,Champions
8107-KNCIM,Loyal Customers
5451-YHYPW,Champions
7629-WFGLW,Champions
8818-DOPVL,Loyal Customers
7044-YAACC,At Risk
8189-XRIKE,Loyal Customers
3740-RLMVT,Champions
2186-QZEYA,At Risk
5599-HVLTW,At Risk
9208-OLGAQ,At Risk
3244-CQPHU,Loyal Customers
2674-MLXMN,Loyal Customers
9708-HPXWZ,Lost
5792-JALQC,Loyal Customers
2675-OTVVJ,Loyal Customers
0537-QYZZN,Loyal Customers
3340-QBBFM,Champions
2277-VWCNI,Lost
7576-JMYWV,Champions
5227-JSCFE,Champions
1608-GMEWB,Loyal Customers
2665-NPTGL,Loyal Customers
0442-ZXKVS,Loyal Customers
0575-CUQOV,Champions
5329-KRDTM,Champions
0707-HOVVN,Loyal Customers
9518-XXBXE,Loyal Customers
0423-UDIJQ,Lost
9029-FEGVJ,Loyal Customers
8999-XXGNS,Champions
0471-ARVMX,Champions
7524-VRLPL,Loyal Customers
4884-TVUQF,Loyal Customers
8065-BVEPF,Loyal Customers
6350-XFYGW,Lost
8755-IWJHN,Champions
4480-QQRHC,Lost
0929-PECLO,Loyal Customers
9470-YFUYI,Champions
7402-EYFXX,At Risk
1986-PHGZF,At Risk
8024-XNAFQ,Loyal Customers
2988-GBIVW,Champions
5956-YHHRX,At Risk
6008-NAIXK,Loyal Customers
4007-NHVHI,Loyal Customers
8979-CAMGB,Loyal Customers
7813-ZGGAW,Loyal Customers
6583-KQJLK,Loyal Customers
6139-ZZRBQ,Loyal Customers
7594-LZNWR,Loyal Customers
3996-ZNWYK,Champions
8760-ZRHKE,Champions
5216-WASFJ,Loyal Customers
4948-WBBKL,Loyal Customers
8348-JLBUG,Champions
3339-EAQNV,Champions
5730-RIITO,At Risk
7515-LODFU,Loyal Customers
8041-TMEID,Champions
6941-KXRRV,Champions
4501-UYKBC,Loyal Customers
5304-EFJLP,Champions
8875-AKBYH,At Risk
0533-UCAAU,Champions
1394-SUIUH,Champions
8565-WUXZU,Champions
2055-BFOCC,Champions
4584-LBNMK,Loyal Customers
3898-GUYTS,Loyal Customers
3703-KBKZP,At Risk
5117-IFGPS,Loyal Customers
2197-OMWGI,Champions
7852-LECYP,Loyal Customers
8595-SIZNC,Loyal Customers
8920-NAVAY,Loyal Customers
9699-UBQFS,Loyal Customers
1261-FWTTE,At Risk
3528-HFRIQ,Champions
3320-VEOYC,At Risk
9758-MFWGD,At Risk
1360-JYXKQ,Loyal Customers
6925-BAYGL,Loyal Customers
